sample	group	dataset	n_cells
BIOREP_ed530414611364b0	NDMM	MMRF_ImmuneAtlas	809
BIOREP_49bf0a9f2c2ce663	NDMM	MMRF_ImmuneAtlas	573
BIOREP_7fdeef903e6c467b	NDMM	MMRF_ImmuneAtlas	420
BIOREP_b65affb31e231ad7	NDMM	MMRF_ImmuneAtlas	1012
BIOREP_025970957b4aed0d	NDMM	MMRF_ImmuneAtlas	1470
BIOREP_a668bd1af2d3e46b	NDMM	MMRF_ImmuneAtlas	140
BIOREP_b2342916a2975460	NDMM	MMRF_ImmuneAtlas	232
BIOREP_e3df4895fbf0b8bd	NDMM	MMRF_ImmuneAtlas	379
BIOREP_18a81129b6fe79cd	NDMM	MMRF_ImmuneAtlas	646
BIOREP_a37690927594be43	NDMM	MMRF_ImmuneAtlas	209
BIOREP_2c26104fb9d200e8	NDMM	MMRF_ImmuneAtlas	617
BIOREP_0fae42ff2a9d4a23	NDMM	MMRF_ImmuneAtlas	3063
BIOREP_5d9fee11db7a4109	NDMM	MMRF_ImmuneAtlas	717
BIOREP_bcb12bfa8aaeeacc	NDMM	MMRF_ImmuneAtlas	150
BIOREP_587629a572098e85	NDMM	MMRF_ImmuneAtlas	754
BIOREP_d560f8746899fa67	NDMM	MMRF_ImmuneAtlas	5050
BIOREP_ba64571387c3eaaa	NDMM	MMRF_ImmuneAtlas	211
BIOREP_a9de9562c6316e3c	NDMM	MMRF_ImmuneAtlas	1472
BIOREP_e81365b916395be7	NDMM	MMRF_ImmuneAtlas	250
BIOREP_6e17699c4c4b47c2	NDMM	MMRF_ImmuneAtlas	1639
BIOREP_539dc89a9c7adeae	NDMM	MMRF_ImmuneAtlas	452
BIOREP_2c74c68f16996944	NDMM	MMRF_ImmuneAtlas	175
BIOREP_208d541176be2555	NDMM	MMRF_ImmuneAtlas	136
BIOREP_38174749089e40aa	NDMM	MMRF_ImmuneAtlas	111
BIOREP_d059a11745c82f5e	NDMM	MMRF_ImmuneAtlas	489
BIOREP_c9178a7c8def0fd7	NDMM	MMRF_ImmuneAtlas	561
BIOREP_889e8287d5785cf3	NDMM	MMRF_ImmuneAtlas	2656
BIOREP_6a64bcf8256e0140	NDMM	MMRF_ImmuneAtlas	1668
BIOREP_a90d6ccf90b23ae9	NDMM	MMRF_ImmuneAtlas	669
BIOREP_86f302785a38aa5f	NDMM	MMRF_ImmuneAtlas	231
BIOREP_978df200d5172dc4	NDMM	MMRF_ImmuneAtlas	176
