gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	signed_statistic	significant	direction
CACNA1C	1.73611141921016	-0.394215115189263	0.244902357315278	-1.60968281200235	0.107467119142151	0.147466726003694	-1.60968281200235	False	higher_in_group_b
CACNA1C-AS1	1.75201859065267	0.133747310703176	0.238208178776811	0.561472370050274	0.574475560769743	0.631801919471028	0.561472370050274	False	higher_in_group_a
CACNA1D	0.489007481958244	1.63414071510045	0.410486111657048	3.9809890485789	6.86291115045851e-05	0.0001784356899119	3.9809890485789	True	higher_in_group_a
CACNA1I	0.278842075226099	0.907160855800601	0.395901239785444	2.29138169987099	0.021941347052945	0.0358334092064543	2.29138169987099	True	higher_in_group_a
CACNA2D2	20.0830027418396	-0.133252650321865	0.106514004697657	-1.25103408420429	0.210922042367766	0.266038375723002	-1.25103408420429	False	higher_in_group_b
CACNA2D3	0.221527173575022	1.67377272553337	1.19920917129356	1.3957304243495	0.162795688866244	0.212216535648845	1.3957304243495	False	higher_in_group_a
CACNB1	4.16072901501755	0.126584643662189	0.129917832985371	0.974343866068347	0.329885831066862	0.394154214382662	0.974343866068347	False	higher_in_group_a
CACNB2	1.81488674158576	0.810558427553525	0.255420192473714	3.17343127692201	0.0015064856152237	0.0031288085705823	3.17343127692201	True	higher_in_group_a
CACNB4	0.992793108655775	0.55871602687236	0.297732421379016	1.87657099715422	0.060576915532395	0.0890294504286369	1.87657099715422	False	higher_in_group_a
CADM1	14.0902025034433	0.561637734286655	0.186836314787296	3.00604159810181	0.0026467278714533	0.0052561494833852	3.00604159810181	True	higher_in_group_a
CADPS2	0.259352447960255	0.176731984090428	0.723429619522942	0.244297412382661	0.80700048739496	0.842030390977865	0.244297412382661	False	higher_in_group_a
CAGE1	4.13277437561771	-1.58797108399843	0.232354285423434	-6.83426639239542	8.24257327692585e-12	5.976152224285739e-11	-6.83426639239542	True	higher_in_group_b
CALCB	1.0946949397636	1.74300069842609	0.323180792221606	5.39326822749699	6.91875524238582e-08	2.94668881360762e-07	5.39326822749699	True	higher_in_group_a
CALCOCO1	53.2667096102891	-0.0716802881215839	0.0582450823725661	-1.23066678252902	0.218447516621529	0.274332931932635	-1.23066678252902	False	higher_in_group_b
CALCRL	0.215743893675432	1.75383206861999	0.802466938580544	2.18555056202351	0.0288485029295602	0.045836525075925	2.18555056202351	True	higher_in_group_a
CALD1	1.19099094955798	2.18337729759361	0.301907442587427	7.23194260758028	4.76133427973829e-13	4.18562312962558e-12	7.23194260758028	True	higher_in_group_a
CALHM6	13.7351960676678	-0.298887607575103	0.223451555321777	-1.3375946618259	0.181028605540054	0.232610825900987	-1.3375946618259	False	higher_in_group_b
CALM1	2028.7223713116	-0.513867213388786	0.0545914943779833	-9.41295378050738	4.8238635098181e-21	1.1974666893658e-19	-9.41295378050738	True	higher_in_group_b
CALM2	424.959639260208	0.0993761176597332	0.0523167509523313	1.89950858665287	0.0574976387193098	0.0849830424280585	1.89950858665287	False	higher_in_group_a
CALN1	0.189291534273469	1.72572952035383	0.970183268193496	1.77876652476926	0.0752780474838317	0.107730769209143	1.77876652476926	False	higher_in_group_a
CALR	391.297667002702	0.348995263847925	0.0731360012044186	4.77186690686666	1.82526107935903e-06	6.19471745227775e-06	4.77186690686666	True	higher_in_group_a
CALY	0.542771881213772	0.428355578232185	0.312152700315503	1.37226292708419	0.169981602158804	0.22042639105817	1.37226292708419	False	higher_in_group_a
CAMK2D	44.6597120401767	0.989248856196203	0.0971193964002832	10.1859040816003	2.29219226082155e-24	8.07378260517751e-23	10.1859040816003	True	higher_in_group_a
CAMK2N1	26.5917590545598	-0.463980342906177	0.131971812203299	-3.51575336550981	0.0004385081322995	0.0009969223260696	-3.51575336550981	True	higher_in_group_b
CAMK4	41.8177020289795	0.718344044896507	0.122798861225374	5.84976145322816	4.92278509427025e-09	2.47946654071795e-08	5.84976145322816	True	higher_in_group_a
CAMKK2	11.0247575903021	0.138951957492591	0.108266948003555	1.28341991766526	0.199344999496147	0.253212836835628	1.28341991766526	False	higher_in_group_a
CAMP	1.567935133921	2.38306332211559	0.574090601835841	4.15102305192764	3.30992422965591e-05	9.02439069518634e-05	4.15102305192764	True	higher_in_group_a
CAPG	6.37421704589005	1.37668224015344	0.235803261979526	5.83826630978911	5.27467998288647e-09	2.64902762531669e-08	5.83826630978911	True	higher_in_group_a
CAPN10-DT	2.77506048836987	-1.05058121017716	0.235153578687551	-4.46763862170719	7.9087761659961e-06	2.39005508135291e-05	-4.46763862170719	True	higher_in_group_b
CAPN12	16.6666230547889	0.217777817458998	0.144507095994443	1.507038917088	0.131800682139704	0.176581073244481	1.507038917088	False	higher_in_group_a
CAPN3	2.85320829353853	-0.162628675123267	0.209460792708471	-0.776415829522874	0.437503501158065	0.500484035886985	-0.776415829522874	False	higher_in_group_b
